time,rebase_time,rebase_30_ma,rebase,standard_apy,adjusted_apy
2021-11-01 20:03,6.908333333333333,7.410212962962963,0.52835%,320.5927138453452,507.4640339412748
2021-11-02 03:02,6.981944444444444,7.4002592592592595,0.52947%,324.52085605971826,518.5155283962167
2021-11-02 10:25,7.387777777777778,7.400453703703704,0.52871%,321.87022124949885,513.8543809543709
2021-11-02 17:28,7.056388888888889,7.400111111111111,0.52858%,321.42135735386836,513.2280271151742
2021-11-03 00:38,7.161666666666667,7.389490740740741,0.52842%,320.8502854099819,516.8560295436354
2021-11-03 07:54,7.265555555555555,7.343805555555556,0.52877%,322.0718942826696,539.569128084045
2021-11-03 15:37,7.716944444444445,7.3479074074074076,0.52862%,321.5623500384662,536.7515578127196
2021-11-03 23:13,7.594722222222222,7.348416666666667,0.52847%,321.02441165282437,535.5407529719679
2021-11-04 06:29,7.269722222222223,7.339231481481481,0.52969%,325.31605192167297,547.6389761185862
2021-11-04 13:38,7.155833333333334,7.315166666666666,0.53025%,327.3145868253491,562.8751757475591
2021-11-04 20:36,6.966111111111111,7.293861111111111,0.53027%,327.3941689862826,573.5376353933997
2021-11-05 03:26,6.831388888888889,7.275453703703704,0.53012%,326.8436691611905,581.7516562125603
2021-11-05 10:17,6.852777777777778,7.235740740740741,0.53026%,327.34905898922386,603.4671478221079
2021-11-05 17:33,7.253888888888889,7.223481481481482,0.53004%,326.5587126898088,608.429292193226
2021-11-06 00:33,7.008611111111111,7.20175,0.53058%,328.50151967293596,624.4148060693886
2021-11-06 07:42,7.154722222222222,7.162546296296297,0.52994%,326.21150704034363,641.7718990098143
2021-11-06 14:47,7.079722222222222,7.162861111111111,0.53025%,327.31495981058345,644.0139731360371
2021-11-06 21:49,7.024166666666667,7.1489259259259255,0.53058%,328.4761661166747,654.7744006771228
2021-11-07 04:52,7.057777777777778,7.12237037037037,0.53087%,329.53058064935897,673.2165398090777
2021-11-07 11:50,6.9725,7.111583333333333,0.5311%,330.3634135450702,681.83260326335
2021-11-07 18:40,6.835277777777778,7.106592592592593,0.53062%,328.6190083449692,680.893913064186
2021-11-08 01:32,6.865,7.1084907407407405,0.53216%,334.1923173314769,692.6960799315762
2021-11-08 08:34,7.028888888888889,7.109462962962963,0.53163%,332.2790291482923,687.6198639554844
2021-11-08 15:54,7.335555555555556,7.120777777777778,0.53123%,330.8035710564351,677.1244920061928
2021-11-08 23:04,7.158055555555555,7.131981481481482,0.53102%,330.0704456716588,668.5609019311719
2021-11-09 05:59,6.919722222222222,7.129611111111111,0.53152%,331.86510766009417,674.0974639718083
2021-11-09 13:00,7.0247222222222225,7.125175925925926,0.53202%,333.66829229163955,680.9665304799033
2021-11-09 19:48,6.800833333333333,7.100268518518519,0.53242%,335.1306299968612,700.1709429351137
2021-11-10 02:50,7.018888888888889,7.094240740740741,0.53291%,336.9126793955433,708.3026593540013
2021-11-10 09:45,6.919722222222222,7.086907407407407,0.53194%,333.383192015407,704.7016109297938
2021-11-10 16:55,7.176666666666667,7.095851851851852,0.53214%,334.1318469502399,700.6701292303102
2021-11-11 00:12,7.275,7.10562037037037,0.53265%,335.97501963899276,698.7012813824035
2021-11-11 07:45,7.558611111111111,7.111314814814815,0.5334%,338.7406164679246,701.4862393780986
2021-11-11 15:04,7.311388888888889,7.119814814814815,0.53465%,343.39349245265146,706.7709162975209
2021-11-11 22:28,7.394444444444445,7.127574074074074,0.53375%,340.03105138410683,694.0333009884322
2021-11-12 06:30,8.035,7.153222222222222,0.53434%,342.2053349815797,682.7918392037515
2021-11-12 13:42,7.1994444444444445,7.135972222222223,0.53606%,348.6920993599389,708.4064647338377
2021-11-12 20:39,6.961111111111111,7.114851851851852,0.53521%,345.46920862815614,714.8403855516333
2021-11-13 03:40,7.0125,7.106277777777778,0.53485%,344.12264390934985,717.370346291983
2021-11-13 10:51,7.178333333333334,7.107027777777778,0.53553%,346.6689622558037,722.8464430761726
2021-11-13 18:26,7.585555555555556,7.127675925925926,0.53581%,347.7383671631914,711.647689045828
2021-11-14 02:28,8.0375,7.167879629629629,0.53614%,348.9900992441471,688.6661142649151
2021-11-14 09:20,6.860277777777778,7.16812962962963,0.53622%,349.2956753359691,689.182034288461
2021-11-14 16:15,6.920277777777778,7.157009259259259,0.53664%,350.9024738645136,699.7969881295876
2021-11-14 23:25,7.1561111111111115,7.161925925925926,0.5367%,351.11003287218364,697.1172905907397
2021-11-15 06:02,6.629444444444444,7.144416666666666,0.5373%,353.44807679964345,713.67697097709
2021-11-15 12:55,6.8741666666666665,7.137564814814815,0.53735%,353.61890167144105,718.5817194644331
2021-11-15 20:06,7.184722222222222,7.142916666666666,0.53785%,355.5556343441581,719.4368264355242
2021-11-16 03:21,7.255833333333333,7.149518518518518,0.53885%,359.4567526990879,723.864617685756
2021-11-16 10:17,6.9375,7.148351851851852,0.53867%,358.75206535059004,723.0532723774792
2021-11-16 17:36,7.308333333333334,7.16412037037037,0.54066%,366.61415772708233,730.1136215389084
2021-11-17 00:54,7.300833333333333,7.178648148148148,0.54281%,375.28523619422907,739.4511613410291
2021-11-17 07:53,6.991388888888889,7.177398148148148,0.54323%,377.01737040052114,744.111857721974
2021-11-17 14:44,6.85,7.161212962962963,0.54354%,378.2986151937668,758.1836847808061
2021-11-17 22:08,7.394444444444445,7.169092592592593,0.54363%,378.6630613016997,753.4872387539629
2021-11-18 04:51,6.710833333333333,7.1621296296296295,0.54337%,377.58602307417124,755.9467831210685
2021-11-18 12:02,7.186388888888889,7.167518518518518,0.54347%,377.9809249614107,753.0672041611651
2021-11-18 19:39,7.620833333333334,7.194851851851852,0.54388%,379.68057604533675,738.0251332589633
2021-11-19 02:54,7.248333333333333,7.2025,0.54409%,380.55350461648464,734.739518037607
2021-11-19 09:53,6.978611111111111,7.204462962962963,0.5407%,366.7534491861768,703.9464286190923
2021-11-19 16:34,6.692777777777778,7.1883333333333335,0.54014%,364.538931647506,709.5807224099693
2021-11-19 23:24,6.825277777777778,7.173342592592593,0.54045%,365.7518225864786,722.0522303978837
2021-11-20 06:24,7.002222222222223,7.154796296296296,0.53977%,363.0805689247619,728.4821051796225
2021-11-20 14:09,7.748888888888889,7.1693796296296295,0.54049%,365.9095678447758,725.0328524855644
2021-11-20 21:21,7.1925,7.162648148148148,0.53996%,363.8084316234584,724.8572268612124
2021-11-21 04:24,7.0625,7.130231481481482,0.5405%,365.97860979166245,751.8899092815792
2021-11-21 11:37,7.218333333333334,7.130861111111111,0.53958%,362.30042474742856,742.9827892146507
2021-11-21 18:43,7.096111111111111,7.135361111111111,0.53913%,360.55262314775257,735.8909468859134
2021-11-22 01:48,7.0744444444444445,7.137425925925926,0.5391%,360.41933030807996,734.182649649593
2021-11-22 08:40,6.878055555555556,7.127416666666667,0.539%,360.04552551012796,740.1552564152645
2021-11-22 15:57,7.273333333333333,7.117009259259259,0.53936%,361.450961187736,750.6208182115131
2021-11-22 23:11,7.246944444444444,7.090657407407408,0.5402%,364.7742237219567,777.304843087641
2021-11-23 07:19,8.130555555555556,7.133,0.53923%,360.9574665278545,738.4294685685508
2021-11-23 15:12,7.885,7.165157407407407,0.54006%,364.2024010370241,724.0617669004832
2021-11-23 22:21,7.1497222222222225,7.164944444444444,0.53963%,362.50127107814296,720.4276510536707
2021-11-24 05:19,6.9591666666666665,7.175935185185185,0.53945%,361.7995850594413,711.6649144601598
2021-11-24 12:38,7.315277777777778,7.190638888888889,0.5399%,363.5746057418724,706.0050786916007
2021-11-24 19:37,6.9775,7.183731481481481,0.5402%,364.77063800741837,713.0753997563444
2021-11-25 02:41,7.078333333333333,7.177814814814814,0.54064%,366.5287915125228,720.7998863010642
2021-11-25 09:54,7.206111111111111,7.186768518518519,0.54065%,366.54807342739394,714.9566423772222
2021-11-25 17:03,7.1497222222222225,7.181481481481481,0.54117%,368.63073706624107,722.9730224147661
2021-11-26 00:21,7.306666666666667,7.1816759259259255,0.54099%,367.9216323188058,721.2954217397943
2021-11-26 07:55,7.573333333333333,7.201074074074074,0.54185%,371.37340066121936,716.0105790276108
