time,open,high,low,close,volume
8/20/2021,$278.67,$278.67,$254.30,$261.69,$4.98M
8/19/2021,$290.13,$293.39,$276.00,$276.71,$3.82M
8/18/2021,$268.41,$293.46,$267.22,$289.07,$6.82M
8/17/2021,$237.29,$268.24,$232.41,$266.75,$7.57M
8/16/2021,$271.71,$273.95,$221.14,$237.09,$10.38M
8/15/2021,$284.36,$292.48,$265.99,$271.23,$5.50M
8/14/2021,$283.31,$298.10,$267.56,$284.57,$8.42M
8/13/2021,$337.01,$341.71,$275.53,$283.45,$12.69M
8/12/2021,$378.94,$390.83,$334.46,$336.17,$7.24M
8/11/2021,$345.71,$380.82,$339.20,$377.86,$9.25M
8/10/2021,$409.97,$412.04,$286.92,$342.85,$21.75M
8/9/2021,$403.54,$428.46,$396.87,$411.58,$7.83M
8/8/2021,$456.01,$464.81,$390.43,$405.43,$11.76M
8/7/2021,$463.14,$477.68,$441.18,$457.72,$7.13M
8/6/2021,$475.59,$482.65,$441.97,$467.41,$8.32M
8/5/2021,$446.61,$481.42,$446.61,$475.42,$7.86M
8/4/2021,$423.13,$453.49,$423.13,$446.18,$9.44M
8/3/2021,$437.07,$468.70,$413.96,$419.73,$7.02M
8/2/2021,$422.92,$449.96,$412.83,$438.17,$6.93M
8/1/2021,$410.12,$508.57,$401.70,$422.36,$12.08M
7/31/2021,$391.15,$425.61,$384.92,$407.60,$8.58M
7/30/2021,$469.19,$482.43,$345.97,$388.97,$23.63M
7/29/2021,$514.36,$570.28,$459.76,$465.24,$12.58M
7/28/2021,$571.70,$577.16,$454.13,$511.72,$29.08M
7/27/2021,$575.90,$619.20,$563.71,$572.74,$10.36M
7/26/2021,$525.35,$592.36,$519.90,$576.06,$10.59M
7/25/2021,$540.14,$547.24,$456.85,$524.38,$19.08M
7/24/2021,$566.45,$586.33,$540.30,$542.98,$7.75M
7/23/2021,$636.06,$646.85,$521.38,$574.10,$13.24M
7/22/2021,$626.79,$646.97,$613.75,$632.61,$8.32M
7/21/2021,$571.07,$780.28,$564.34,$626.01,$15.34M
7/20/2021,$544.35,$607.58,$541.53,$571.54,$17.10M
7/19/2021,$537.03,$562.23,$424.27,$549.23,$19.80M
7/18/2021,$573.20,$647.24,$495.89,$535.20,$22.38M
7/17/2021,$566.04,$590.12,$541.72,$573.79,$8.63M
7/16/2021,$495.44,$585.92,$490.31,$563.46,$15.72M
7/15/2021,$484.29,$501.03,$470.07,$492.57,$8.97M
7/14/2021,$487.53,$503.86,$458.52,$484.93,$7.17M
7/13/2021,$452.93,$512.63,$444.13,$489.52,$10.07M
7/12/2021,$418.85,$491.91,$416.56,$453.58,$9.47M
7/11/2021,$418.38,$438.18,$412.49,$416.15,$4.31M
7/10/2021,$408.54,$429.14,$406.04,$416.16,$2.78M
7/9/2021,$395.73,$418.76,$392.66,$408.58,$5.27M
7/8/2021,$368.55,$401.55,$366.15,$395.10,$3.85M
7/7/2021,$394.97,$453.29,$364.66,$368.91,$7.33M
7/6/2021,$395.09,$401.72,$327.75,$395.56,$11.43M
7/5/2021,$454.80,$479.75,$351.94,$394.66,$10.87M
7/4/2021,$503.25,$507.67,$453.54,$457.44,$7.31M
7/3/2021,$480.09,$516.20,$466.03,$500.08,$8.89M
7/2/2021,$470.97,$493.61,$463.01,$479.82,$5.31M
7/1/2021,$440.86,$531.94,$426.38,$470.01,$12.63M
6/30/2021,$420.75,$456.36,$420.66,$440.65,$8.47M
6/29/2021,$358.26,$479.38,$350.35,$420.77,$11.23M
6/28/2021,$332.81,$434.72,$328.78,$423.47,$6.51M
6/27/2021,$341.15,$356.94,$307.31,$332.30,$5.00M
6/26/2021,$315.18,$387.33,$307.94,$341.06,$5.40M
6/25/2021,$299.50,$340.98,$290.77,$316.81,$4.92M
6/24/2021,$291.09,$308.18,$258.46,$298.10,$5.38M
6/23/2021,$285.08,$317.55,$272.86,$289.36,$4.19M
6/22/2021,$243.20,$298.38,$236.98,$283.02,$6.17M
6/21/2021,$313.81,$317.59,$215.25,$241.42,$6.28M
6/20/2021,$322.75,$394.77,$305.91,$315.27,$9.18M
6/19/2021,$297.16,$337.36,$286.93,$320.84,$7.04M
6/18/2021,$252.30,$318.97,$248.47,$298.90,$5.96M
6/17/2021,$252.26,$261.64,$245.87,$250.92,$2.88M
6/16/2021,$234.70,$256.04,$234.70,$252.21,$3.52M
6/15/2021,$256.09,$256.51,$225.14,$235.13,$2.54M
6/14/2021,$201.84,$265.15,$201.84,$254.08,$4.52M
6/13/2021,$221.13,$222.83,$190.45,$200.33,$2.76M
6/12/2021,$208.60,$221.47,$190.87,$220.14,$3.31M
6/11/2021,$207.15,$218.78,$199.59,$208.43,$1.96M
6/10/2021,$240.28,$251.85,$196.80,$206.28,$3.08M
6/9/2021,$237.41,$255.34,$235.89,$242.84,$1.70M
6/8/2021,$238.76,$251.95,$232.63,$239.67,$1.54M
6/7/2021,$249.65,$251.37,$220.81,$239.37,$2.31M
6/6/2021,$234.98,$249.60,$234.79,$249.11,$1.31M
6/5/2021,$212.89,$242.91,$211.77,$235.73,$1.91M
6/4/2021,$197.66,$220.87,$196.80,$212.96,$1.58M
6/3/2021,$197.72,$204.91,$188.42,$197.50,$1.62M
6/2/2021,$201.21,$215.15,$197.75,$198.17,$1.88M
6/1/2021,$200.49,$204.37,$196.61,$200.78,$1.39M
5/31/2021,$205.51,$210.29,$198.69,$200.95,$1.11M
5/30/2021,$193.97,$205.60,$192.21,$205.53,$1.09M
5/29/2021,$185.32,$201.44,$166.14,$193.69,$2.01M
5/28/2021,$202.82,$207.03,$180.94,$187.82,$1.36M
5/27/2021,$235.34,$238.90,$201.44,$201.47,$1.48M
5/26/2021,$230.88,$241.31,$229.04,$233.77,$1.19M
5/25/2021,$222.67,$243.01,$222.67,$230.82,$2.21M
5/24/2021,$234.69,$236.06,$211.08,$219.67,$1.36M
5/23/2021,$164.63,$236.65,$164.63,$234.81,$2.70M
5/22/2021,$237.78,$237.78,$163.68,$165.70,$2.00M
5/21/2021,$300.77,$300.89,$237.58,$240.63,$2.00M
5/20/2021,$361.56,$382.69,$298.85,$298.96,$2.45M
5/19/2021,$350.20,$362.62,$308.31,$359.62,$3.50M
5/18/2021,$466.02,$486.34,$336.89,$349.68,$4.23M
5/17/2021,$476.50,$482.51,$456.85,$467.80,$1.70M
5/16/2021,$513.39,$513.40,$447.00,$476.06,$2.96M
5/15/2021,$495.77,$546.45,$488.19,$506.56,$2.76M
5/14/2021,$476.74,$505.78,$474.84,$492.41,$2.55M
5/13/2021,$492.73,$498.10,$439.79,$474.32,$4.34M
5/12/2021,$635.38,$635.38,$488.18,$490.98,$3.43M
5/11/2021,$592.19,$641.69,$497.25,$638.51,$8.59M
5/10/2021,$702.12,$702.48,$584.63,$593.53,$3.25M
5/9/2021,$686.65,$730.42,$681.17,$699.66,$3.30M
5/8/2021,$813.42,$817.37,$679.03,$688.29,$5.83M
5/7/2021,$826.71,$852.72,$802.77,$815.91,$4.13M
5/6/2021,$817.26,$843.86,$768.33,$823.91,$4.73M
5/5/2021,$745.99,$827.73,$725.55,$816.28,$6.95M
5/4/2021,$760.78,$786.97,$715.68,$743.27,$5.59M
5/3/2021,$848.52,$855.30,$737.35,$760.40,$5.99M
5/2/2021,$863.41,$870.75,$815.58,$845.15,$4.72M
5/1/2021,$845.93,$887.19,$769.66,$859.67,$6.84M
4/30/2021,$805.00,$873.39,$800.19,$854.28,$4.71M
4/29/2021,"$1,024.00","$1,047.00",$633.87,$802.67,$11.97M
4/28/2021,"$1,075.00","$1,139.00",$900.08,"$1,028.00",$10.31M
4/27/2021,"$1,114.00","$1,179.00","$1,041.00","$1,068.00",$7.54M
4/26/2021,"$1,135.00","$1,160.00","$1,062.00","$1,121.00",$5.91M
4/25/2021,"$1,237.00","$1,327.00","$1,055.00","$1,134.00",$9.98M
4/24/2021,"$1,271.00","$1,434.00","$1,074.00","$1,235.00",$12.90M
4/23/2021,"$1,241.00","$1,492.00","$1,202.00","$1,285.00",$13.52M
4/22/2021,"$1,110.00","$1,244.00",$867.91,"$1,236.00",$19.83M
