time,open,high,low,close,volume
9/15/2020,"$10,794.00","$11,036.00","$10,752.00","$10,971.00",$27.35B
9/14/2020,"$10,681.00","$10,797.00","$10,665.00","$10,797.00",$26.15B
9/13/2020,"$10,344.00","$10,684.00","$10,344.00","$10,681.00",$25.63B
9/12/2020,"$10,450.00","$10,450.00","$10,339.00","$10,339.00",$21.99B
9/11/2020,"$10,380.00","$10,451.00","$10,380.00","$10,448.00",$20.72B
9/10/2020,"$10,348.00","$10,392.00","$10,328.00","$10,392.00",$22.46B
9/9/2020,"$10,232.00","$10,425.00","$10,232.00","$10,349.00",$25.78B
9/8/2020,"$10,133.00","$10,281.00","$10,133.00","$10,224.00",$22.29B
9/7/2020,"$10,380.00","$10,380.00","$9,972.00","$10,149.00",$29.51B
9/6/2020,"$10,273.00","$10,391.00","$10,084.00","$10,391.00",$30.40B
9/5/2020,"$10,194.00","$10,351.00","$10,194.00","$10,280.00",$33.23B
9/4/2020,"$10,479.00","$10,479.00","$10,032.00","$10,189.00",$39.62B
9/3/2020,"$10,190.00","$10,480.00","$10,106.00","$10,480.00",$29.53B
9/2/2020,"$11,401.00","$11,401.00","$10,078.00","$10,191.00",$28.64B
9/1/2020,"$11,929.00","$11,929.00","$11,401.00","$11,425.00",$27.53B
8/31/2020,"$11,670.00","$11,972.00","$11,670.00","$11,931.00",$27.24B
8/30/2020,"$11,717.00","$11,721.00","$11,666.00","$11,666.00",$21.23B
8/29/2020,"$11,485.00","$11,717.00","$11,485.00","$11,717.00",$19.95B
8/28/2020,"$11,542.00","$11,545.00","$11,485.00","$11,485.00",$17.85B
8/27/2020,"$11,343.00","$11,517.00","$11,343.00","$11,517.00",$19.56B
8/26/2020,"$11,472.00","$11,529.00","$11,213.00","$11,344.00",$23.57B
8/25/2020,"$11,341.00","$11,494.00","$11,311.00","$11,471.00",$22.86B
8/24/2020,"$11,756.00","$11,756.00","$11,226.00","$11,332.00",$25.36B
8/23/2020,"$11,662.00","$11,794.00","$11,662.00","$11,761.00",$20.31B
8/22/2020,"$11,675.00","$11,763.00","$11,660.00","$11,660.00",$18.14B
8/21/2020,"$11,546.00","$11,677.00","$11,546.00","$11,674.00",$20.69B
8/20/2020,"$11,868.00","$11,868.00","$11,550.00","$11,561.00",$24.31B
8/19/2020,"$11,770.00","$11,871.00","$11,770.00","$11,871.00",$20.95B
8/18/2020,"$11,963.00","$11,963.00","$11,674.00","$11,790.00",$24.84B
8/17/2020,"$12,302.00","$12,302.00","$11,884.00","$11,942.00",$26.24B
8/16/2020,"$11,919.00","$12,374.00","$11,883.00","$12,299.00",$29.18B
8/15/2020,"$11,861.00","$11,913.00","$11,861.00","$11,913.00",$20.78B
8/14/2020,"$11,777.00","$11,876.00","$11,777.00","$11,862.00",$23.29B
8/13/2020,"$11,793.00","$11,832.00","$11,773.00","$11,773.00",$25.12B
8/12/2020,"$11,571.00","$11,782.00","$11,571.00","$11,782.00",$27.69B
8/11/2020,"$11,398.00","$11,590.00","$11,334.00","$11,570.00",$26.53B
8/10/2020,"$11,898.00","$11,898.00","$11,208.00","$11,395.00",$27.91B
8/9/2020,"$11,681.00","$12,019.00","$11,671.00","$11,909.00",$27.72B
8/8/2020,"$11,760.00","$11,760.00","$11,670.00","$11,679.00",$19.48B
